Country,2015Life.expectancy,Medical doctors,Nurses,Pharmacists
South Africa,62.9,8.09,50.13,2.71
South Sudan,57.3,0.4,3.58,0.35
Spain,82.8,45.77,63.06,13.16
Sri Lanka,74.9,11.92,24.39,1.06
Sudan,64.1,2.63,11.4,0.25
Suriname,71.6,7.95,38.03,0.35
Sweden,82.4,70.62,215.9,16.12
Switzerland,83.4,44.43,187.1,6.73
Syrian Arab Republic,64.5,11.86,14.19,9.82
Tajikistan,69.7,17.08,47.12,1.02
Thailand,74.9,9.28,30.78,6.16
The former Yugoslav republic of Macedonia,75.7,28.34,37.4,4.42
Timor-Leste,68.3,7.67,17.73,2.12
Togo,59.9,0.59,3.97,0.024
Tonga,73.5,10.09,41.79,0.76
Trinidad and Tobago,71.2,34.12,37.35,6.08
Tunisia,75.3,12.61,24.33,2.21
Turkey,75.8,20.36,34.03,4.2
Turkmenistan,66.3,21.47,42.73,1.64
Uganda,62.3,1.58,16.86,0.39
Ukraine,71.3,29.9,66.56,0.34
United Arab Emirates,77.1,28.79,63.57,12.01
United Kingdom of Great Britain and Northern Ireland,81.2,31.71,91.67,8.53
United Republic of Tanzania,61.8,0.5,5.5,0.32
United States of America,79.3,35.55,124.7,10.64
Uruguay,77,62,115.5,5.42
Uzbekistan,69.4,23.73,112.7,0.41
Vanuatu,72,1.58,14,1.13
Viet Nam,76,8.33,14.54,3.41
Yemen,65.7,2.94,7.27,0.98
Zambia,61.8,2.97,18.64,0.71
Zimbabwe,67,1.89,20.29,1.02
